Country,Time,Official exchange rate,Imports Merchandise,Exports Merchandise,Trade Balance,Inflation,Broad Money
Sri Lanka,1/1/1996,53.8002,426,288,-138,0.3,228090
Sri Lanka,2/1/1996,53.6314,385,296,-89,0,234199
Sri Lanka,3/1/1996,53.6529,410,324,-86,1.8,239178
Sri Lanka,4/1/1996,54.0123,429,289,-140,2.9,241893
Sri Lanka,5/1/1996,54.4428,439,289,-150,2.6,242072
Sri Lanka,6/1/1996,55.305,425,333,-92,-0.6,240407
Sri Lanka,7/1/1996,55.1126,422,330,-92,0.2,240083
Sri Lanka,8/1/1996,55.4741,485,480,-5,0.2,240097
Sri Lanka,9/1/1996,55.9733,458,290,-168,0.3,241700
Sri Lanka,10/1/1996,56.8365,583,402,-181,0.7,242845
Sri Lanka,11/1/1996,56.9324,467,335,-132,0.9,245227
Sri Lanka,12/1/1996,56.7282,511,439,-72,0.3,253201
Sri Lanka,1/1/1997,57.1961,490,320,-170,-0.3,253157
Sri Lanka,2/1/1997,57.6185,441,359,-82,-0.6,254967
Sri Lanka,3/1/1997,57.7881,540,334,-206,0.2,260657
Sri Lanka,4/1/1997,58.7164,487,352,-135,0.9,261357
Sri Lanka,5/1/1997,58.7995,472,361,-111,0.3,262189
Sri Lanka,6/1/1997,58.4724,503,324,-179,1.3,265104
Sri Lanka,7/1/1997,58.73,507,471,-36,0.1,267601
Sri Lanka,8/1/1997,58.9352,429,419,-10,0.1,271989
Sri Lanka,9/1/1997,59.6068,482,395,-87,0.1,276994
Sri Lanka,10/1/1997,59.6748,482,449,-33,2,279577
Sri Lanka,11/1/1997,60.101,466,405,-61,2,281697
Sri Lanka,12/1/1997,61.4185,566,451,-115,1.6,288258
Sri Lanka,1/1/1998,61.8791,546,330,-216,-0.9,289017
Sri Lanka,2/1/1998,61.775,473,391,-82,-1,291450
Sri Lanka,3/1/1998,61.6741,541,396,-145,-0.4,297205
Sri Lanka,4/1/1998,62.4091,458,340,-118,1.9,297152
Sri Lanka,5/1/1998,63.9824,516,411,-105,1.4,298472
Sri Lanka,6/1/1998,64.7691,469,385,-84,-0.6,296943
Sri Lanka,7/1/1998,65.4787,497,515,18,-1.9,298677
Sri Lanka,8/1/1998,66.1471,474,370,-104,-0.5,296505
Sri Lanka,9/1/1998,66.055,452,432,-20,1.1,301678
Sri Lanka,10/1/1998,66.1445,462,405,-57,1,303514
Sri Lanka,11/1/1998,67.5095,502,397,-105,0.7,306637
Sri Lanka,12/1/1998,68.093,500,426,-74,1.6,316174
Sri Lanka,1/1/1999,68.5676,435,339,-96,-0.2,317257
Sri Lanka,2/1/1999,69.062,389,324,-65,-1,319410
Sri Lanka,3/1/1999,69.4822,453,346,-107,1.2,324606
Sri Lanka,4/1/1999,69.3464,429,262,-167,1.3,326329
Sri Lanka,5/1/1999,70.2771,451,392,-59,-0.5,327371
Sri Lanka,6/1/1999,71.0323,481,399,-82,-1.7,327709
Sri Lanka,7/1/1999,71.5336,475,419,-56,-0.1,330177
Sri Lanka,8/1/1999,71.4411,475,313,-162,-0.1,331125
Sri Lanka,9/1/1999,71.7795,510,547,37,0.8,337568
Sri Lanka,10/1/1999,71.4733,593,398,-195,0.5,341900
Sri Lanka,11/1/1999,71.7741,653,426,-227,0.6,350033
Sri Lanka,12/1/1999,71.75,634,447,-187,-0.5,358076
Sri Lanka,1/1/2000,72.8224,632,381,-251,0.7,359623
Sri Lanka,2/1/2000,73.34,517,380,-137,0.5,361256
Sri Lanka,3/1/2000,73.6257,601,492,-109,0.7,366263
Sri Lanka,4/1/2000,73.7845,625,288,-337,0.5,369479
Sri Lanka,5/1/2000,74.4913,729,470,-259,2.1,365197
Sri Lanka,6/1/2000,76.5595,683,459,-224,0.1,370625
Sri Lanka,7/1/2000,78.6981,599,565,-34,-0.2,373504
Sri Lanka,8/1/2000,78.2517,576,534,-42,-0.8,376499
Sri Lanka,9/1/2000,78.6757,592,488,-104,0.5,383562
Sri Lanka,10/1/2000,79.2632,610,432,-178,0.3,388701
Sri Lanka,11/1/2000,80.3705,589,417,-172,2.5,387452
Sri Lanka,12/1/2000,81.99,567,617,50,2.3,404669
Sri Lanka,1/1/2001,85.328,562,334,-228,1,398998
Sri Lanka,2/1/2001,86.7065,452,455,3,-1.3,400994
